Date,Open,High,Low,Close
03/06/2012,"1,363.63","1,363.63","1,340.03","1,343.36"
03/05/2012,"1,369.59","1,369.59","1,359.13","1,364.33"
03/02/2012,"1,374.09","1,374.53","1,366.42","1,369.63"
03/01/2012,"1,365.90","1,376.17","1,365.90","1,374.09"
02/29/2012,"1,372.20","1,378.04","1,363.81","1,365.68"
02/28/2012,"1,367.56","1,373.09","1,365.97","1,372.18"
02/27/2012,"1,365.20","1,371.94","1,354.92","1,367.59"
02/24/2012,"1,363.46","1,368.92","1,363.46","1,365.74"
02/23/2012,"1,357.53","1,364.24","1,352.28","1,363.46"
02/22/2012,"1,362.11","1,362.70","1,355.53","1,357.66"
02/21/2012,"1,361.22","1,367.76","1,358.11","1,362.21"
02/17/2012,"1,358.06","1,363.40","1,357.24","1,361.23"
02/16/2012,"1,342.61","1,359.02","1,341.22","1,358.04"
02/15/2012,"1,350.52","1,355.87","1,340.80","1,343.23"
02/14/2012,"1,351.30","1,351.30","1,340.83","1,350.50"
02/13/2012,"1,343.06","1,353.35","1,343.06","1,351.77"
02/10/2012,"1,351.21","1,351.21","1,337.35","1,342.64"
02/09/2012,"1,349.97","1,354.32","1,344.63","1,351.95"
02/08/2012,"1,347.04","1,351.00","1,341.95","1,349.96"
02/07/2012,"1,344.33","1,349.24","1,335.92","1,347.05"
02/06/2012,"1,344.32","1,344.36","1,337.52","1,344.33"
02/03/2012,"1,326.21","1,345.34","1,326.21","1,344.90"
02/02/2012,"1,324.24","1,329.19","1,321.57","1,325.54"
02/01/2012,"1,312.45","1,330.52","1,312.45","1,324.09"
01/31/2012,"1,313.53","1,321.41","1,306.69","1,312.41"
01/30/2012,"1,316.16","1,316.16","1,300.49","1,313.01"
01/27/2012,"1,318.25","1,320.06","1,311.72","1,316.33"
01/26/2012,"1,326.28","1,333.47","1,313.60","1,318.43"
01/25/2012,"1,314.40","1,328.30","1,307.65","1,326.05"
01/24/2012,"1,315.96","1,315.96","1,306.06","1,314.65"
01/23/2012,"1,315.29","1,322.28","1,309.89","1,316.00"
01/20/2012,"1,314.49","1,315.38","1,309.17","1,315.38"
01/19/2012,"1,308.07","1,315.49","1,308.07","1,314.50"
01/18/2012,"1,293.65","1,308.11","1,290.99","1,308.04"
01/17/2012,"1,290.22","1,303.00","1,290.22","1,293.67"
01/13/2012,"1,294.82","1,294.82","1,277.58","1,289.09"
01/12/2012,"1,292.48","1,296.82","1,285.77","1,295.50"
01/11/2012,"1,292.02","1,293.80","1,285.41","1,292.48"
01/10/2012,"1,280.77","1,296.46","1,280.77","1,292.08"
01/09/2012,"1,277.83","1,281.99","1,274.55","1,280.70"
01/06/2012,"1,280.93","1,281.84","1,273.34","1,277.81"
01/05/2012,"1,277.30","1,283.05","1,265.26","1,281.06"
01/04/2012,"1,277.03","1,278.73","1,268.10","1,277.30"
01/03/2012,"1,258.86","1,284.62","1,258.86","1,277.06"
12/30/2011,"1,262.82","1,264.12","1,257.46","1,257.60"
12/29/2011,"1,249.75","1,263.54","1,249.75","1,263.02"
12/28/2011,"1,265.38","1,265.85","1,248.64","1,249.64"
12/27/2011,"1,265.02","1,269.37","1,262.30","1,265.43"
12/23/2011,"1,254.00","1,265.42","1,254.00","1,265.33"
12/22/2011,"1,243.72","1,255.22","1,243.72","1,254.00"
12/21/2011,"1,241.25","1,245.09","1,229.51","1,243.72"
12/20/2011,"1,205.72","1,242.82","1,205.72","1,241.30"
12/19/2011,"1,219.74","1,224.57","1,202.37","1,205.35"
12/16/2011,"1,216.09","1,231.04","1,215.20","1,219.66"
12/15/2011,"1,212.12","1,225.60","1,212.12","1,215.75"
12/14/2011,"1,225.73","1,225.73","1,209.47","1,211.82"
12/13/2011,"1,236.83","1,249.86","1,219.43","1,225.73"
12/12/2011,"1,255.05","1,255.05","1,227.25","1,236.47"
12/09/2011,"1,234.48","1,258.25","1,234.48","1,255.19"
12/08/2011,"1,260.87","1,260.87","1,231.47","1,234.35"
12/07/2011,"1,258.14","1,267.06","1,244.80","1,261.01"
12/06/2011,"1,257.19","1,266.03","1,253.03","1,258.47"
12/05/2011,"1,244.33","1,266.73","1,244.33","1,257.08"
12/02/2011,"1,246.03","1,260.08","1,243.35","1,244.28"
12/01/2011,"1,246.91","1,251.09","1,239.73","1,244.58"
11/30/2011,"1,196.72","1,247.11","1,196.72","1,246.96"
11/29/2011,"1,192.56","1,203.67","1,191.80","1,195.19"
11/28/2011,"1,158.67","1,197.35","1,158.67","1,192.55"
11/25/2011,"1,161.41","1,172.66","1,158.66","1,158.67"
11/23/2011,"1,187.48","1,187.48","1,161.79","1,161.79"
11/22/2011,"1,192.98","1,196.81","1,181.65","1,188.04"
11/21/2011,"1,215.62","1,215.62","1,183.16","1,192.98"
11/18/2011,"1,213.19","1,223.51","1,211.36","1,215.65"
11/17/2011,"1,236.56","1,237.73","1,209.43","1,216.13"
11/16/2011,"1,257.81","1,259.61","1,235.67","1,236.91"
11/15/2011,"1,251.70","1,264.25","1,244.34","1,257.81"
11/14/2011,"1,263.85","1,263.85","1,246.68","1,251.78"
11/11/2011,"1,240.12","1,266.98","1,240.12","1,263.85"
11/10/2011,"1,229.59","1,246.22","1,227.70","1,239.69"
11/09/2011,"1,275.18","1,275.18","1,226.64","1,229.10"
11/08/2011,"1,261.12","1,277.55","1,254.99","1,275.92"
11/07/2011,"1,253.21","1,261.70","1,240.75","1,261.12"
11/04/2011,"1,260.82","1,260.82","1,238.92","1,253.23"
11/03/2011,"1,238.25","1,263.21","1,234.81","1,261.15"
11/02/2011,"1,219.62","1,242.48","1,219.62","1,237.90"
11/01/2011,"1,251.00","1,251.00","1,215.42","1,218.28"
10/31/2011,"1,284.96","1,284.96","1,253.16","1,253.30"
10/28/2011,"1,284.39","1,287.08","1,277.01","1,285.09"
10/27/2011,"1,243.97","1,292.66","1,243.97","1,284.59"
10/26/2011,"1,229.17","1,246.28","1,221.06","1,242.00"
10/25/2011,"1,254.19","1,254.19","1,226.79","1,229.05"
10/24/2011,"1,238.72","1,256.55","1,238.72","1,254.19"
10/21/2011,"1,215.39","1,239.03","1,215.39","1,238.25"
10/20/2011,"1,209.92","1,219.53","1,197.34","1,215.39"
10/19/2011,"1,223.46","1,229.64","1,206.31","1,209.88"
10/18/2011,"1,200.75","1,233.10","1,191.48","1,225.38"
10/17/2011,"1,224.47","1,224.47","1,198.55","1,200.86"
10/14/2011,"1,205.65","1,224.61","1,205.65","1,224.58"
10/13/2011,"1,206.96","1,207.46","1,190.58","1,203.66"
10/12/2011,"1,196.19","1,220.25","1,196.19","1,207.25"
10/11/2011,"1,194.60","1,199.24","1,187.30","1,195.54"
10/10/2011,"1,158.15","1,194.91","1,158.15","1,194.89"
10/07/2011,"1,165.03","1,171.40","1,150.26","1,155.46"
10/06/2011,"1,144.11","1,165.55","1,134.95","1,164.97"
10/05/2011,"1,124.03","1,146.07","1,115.68","1,144.03"
10/04/2011,"1,097.42","1,125.12","1,074.77","1,123.95"
10/03/2011,"1,131.21","1,138.99","1,098.92","1,099.23"
09/30/2011,"1,159.93","1,159.93","1,131.34","1,131.42"
09/29/2011,"1,151.74","1,175.87","1,139.93","1,160.40"
09/28/2011,"1,175.39","1,184.71","1,150.40","1,151.06"
09/27/2011,"1,163.32","1,195.86","1,163.32","1,175.38"
09/26/2011,"1,136.91","1,164.19","1,131.07","1,162.95"
09/23/2011,"1,128.82","1,141.72","1,121.36","1,136.43"
09/22/2011,"1,164.55","1,164.55","1,114.22","1,129.56"
09/21/2011,"1,203.63","1,206.30","1,166.21","1,166.76"
09/20/2011,"1,204.50","1,220.39","1,201.29","1,202.09"
09/19/2011,"1,214.99","1,214.99","1,188.36","1,204.09"
09/16/2011,"1,209.21","1,220.06","1,204.46","1,216.01"
09/15/2011,"1,189.44","1,209.11","1,189.44","1,209.11"
09/14/2011,"1,173.32","1,202.38","1,162.73","1,188.68"
09/13/2011,"1,162.59","1,176.41","1,157.44","1,172.87"
09/12/2011,"1,153.50","1,162.52","1,136.07","1,162.27"
09/09/2011,"1,185.37","1,185.37","1,148.37","1,154.23"
09/08/2011,"1,197.98","1,204.40","1,183.34","1,185.90"
09/07/2011,"1,165.85","1,198.62","1,165.85","1,198.62"
09/06/2011,"1,173.97","1,173.97","1,140.13","1,165.24"
09/02/2011,"1,203.90","1,203.90","1,170.56","1,173.97"
09/01/2011,"1,219.12","1,229.29","1,203.85","1,204.42"
08/31/2011,"1,213.00","1,230.71","1,209.35","1,218.89"
08/30/2011,"1,209.76","1,220.10","1,195.77","1,212.92"
08/29/2011,"1,177.91","1,210.28","1,177.91","1,210.08"
08/26/2011,"1,158.85","1,181.23","1,135.91","1,176.80"
08/25/2011,"1,176.69","1,190.68","1,155.47","1,159.27"
08/24/2011,"1,162.16","1,178.56","1,156.30","1,177.60"
08/23/2011,"1,124.36","1,162.35","1,122.91","1,162.35"
08/22/2011,"1,123.55","1,145.49","1,121.09","1,123.82"
08/19/2011,"1,140.47","1,154.54","1,122.05","1,123.53"
08/18/2011,"1,189.62","1,189.62","1,131.03","1,140.65"
08/17/2011,"1,192.89","1,208.47","1,184.36","1,193.89"
08/16/2011,"1,204.22","1,204.22","1,180.53","1,192.76"
08/15/2011,"1,178.86","1,204.49","1,178.86","1,204.49"
08/12/2011,"1,172.87","1,189.04","1,170.74","1,178.81"
08/11/2011,"1,121.30","1,186.29","1,121.30","1,172.64"
08/10/2011,"1,171.77","1,171.77","1,118.01","1,120.76"
08/09/2011,"1,120.23","1,172.88","1,101.54","1,172.53"
08/08/2011,"1,198.48","1,198.48","1,119.28","1,119.46"
08/05/2011,"1,200.28","1,218.11","1,168.09","1,199.38"
08/04/2011,"1,260.23","1,260.23","1,199.54","1,200.07"
08/03/2011,"1,254.25","1,261.20","1,234.56","1,260.34"
08/02/2011,"1,286.56","1,286.56","1,254.03","1,254.05"
08/01/2011,"1,292.59","1,307.38","1,274.73","1,286.94"
07/29/2011,"1,300.12","1,304.16","1,282.86","1,292.28"
07/28/2011,"1,304.84","1,316.32","1,299.16","1,300.67"
07/27/2011,"1,331.91","1,331.91","1,303.49","1,304.89"
07/26/2011,"1,337.39","1,338.51","1,329.59","1,331.94"
07/25/2011,"1,344.32","1,344.32","1,331.09","1,337.43"
07/22/2011,"1,343.80","1,346.10","1,336.95","1,345.02"
07/21/2011,"1,325.65","1,347.00","1,325.65","1,343.80"
07/20/2011,"1,328.66","1,330.43","1,323.65","1,325.84"
07/19/2011,"1,307.07","1,328.14","1,307.07","1,326.73"
07/18/2011,"1,315.94","1,315.94","1,295.92","1,305.44"
07/15/2011,"1,308.87","1,317.70","1,307.52","1,316.14"
07/14/2011,"1,317.74","1,326.88","1,306.51","1,308.87"
07/13/2011,"1,314.45","1,331.48","1,314.45","1,317.72"
07/12/2011,"1,319.61","1,327.17","1,313.33","1,313.64"
07/11/2011,"1,343.31","1,343.31","1,316.42","1,319.49"
07/08/2011,"1,352.39","1,352.39","1,333.71","1,343.80"
07/07/2011,"1,339.62","1,356.48","1,339.62","1,353.22"
07/06/2011,"1,337.56","1,340.94","1,330.92","1,339.22"
07/05/2011,"1,339.59","1,340.89","1,334.30","1,337.88"
07/01/2011,"1,320.64","1,341.01","1,318.18","1,339.67"
06/30/2011,"1,307.64","1,321.97","1,307.64","1,320.64"
06/29/2011,"1,296.85","1,309.21","1,296.85","1,307.41"
06/28/2011,"1,280.21","1,296.80","1,280.21","1,296.67"
06/27/2011,"1,268.44","1,284.91","1,267.53","1,280.10"
06/24/2011,"1,283.04","1,283.93","1,267.24","1,268.45"
06/23/2011,"1,286.60","1,286.60","1,262.87","1,283.50"
06/22/2011,"1,295.48","1,298.61","1,286.79","1,287.14"
06/21/2011,"1,278.40","1,297.62","1,278.40","1,295.52"
06/20/2011,"1,271.50","1,280.42","1,267.56","1,278.36"
06/17/2011,"1,268.58","1,279.82","1,267.40","1,271.50"
06/16/2011,"1,265.53","1,274.11","1,258.07","1,267.64"
06/15/2011,"1,287.87","1,287.87","1,261.90","1,265.42"
06/14/2011,"1,272.22","1,292.50","1,272.22","1,287.87"
06/13/2011,"1,271.31","1,277.04","1,265.64","1,271.83"
06/10/2011,"1,288.60","1,288.60","1,268.28","1,270.98"
06/09/2011,"1,279.63","1,294.54","1,279.63","1,289.00"
06/08/2011,"1,284.63","1,287.04","1,277.42","1,279.56"
06/07/2011,"1,286.31","1,296.22","1,284.74","1,284.94"
06/06/2011,"1,300.26","1,300.26","1,284.72","1,286.17"
06/03/2011,"1,312.94","1,312.94","1,297.90","1,300.16"
06/02/2011,"1,314.55","1,318.03","1,305.61","1,312.94"
06/01/2011,"1,345.20","1,345.20","1,313.71","1,314.55"
05/31/2011,"1,331.10","1,345.20","1,331.10","1,345.20"
05/27/2011,"1,325.69","1,334.62","1,325.69","1,331.10"
05/26/2011,"1,320.64","1,328.51","1,314.41","1,325.69"
05/25/2011,"1,316.36","1,325.86","1,311.80","1,320.47"
05/24/2011,"1,317.70","1,323.72","1,313.87","1,316.28"
05/23/2011,"1,333.07","1,333.07","1,312.88","1,317.37"
05/20/2011,"1,342.00","1,342.00","1,330.67","1,333.27"
05/19/2011,"1,342.40","1,346.82","1,336.36","1,343.60"
05/18/2011,"1,328.54","1,341.82","1,326.59","1,340.68"
05/17/2011,"1,326.10","1,330.42","1,318.51","1,328.98"
05/16/2011,"1,334.77","1,343.33","1,327.32","1,329.47"
05/13/2011,"1,348.69","1,350.47","1,333.36","1,337.77"
05/12/2011,"1,339.39","1,351.05","1,332.03","1,348.65"
05/11/2011,"1,354.51","1,354.51","1,336.36","1,342.08"
05/10/2011,"1,348.34","1,359.44","1,348.34","1,357.16"
05/09/2011,"1,340.20","1,349.44","1,338.64","1,346.29"
05/06/2011,"1,340.24","1,354.36","1,335.58","1,340.20"
05/05/2011,"1,344.16","1,348.00","1,329.17","1,335.10"
05/04/2011,"1,355.90","1,355.90","1,341.50","1,347.32"
05/03/2011,"1,359.76","1,360.84","1,349.52","1,356.62"
05/02/2011,"1,365.21","1,370.58","1,358.59","1,361.22"
04/29/2011,"1,360.14","1,364.56","1,358.69","1,363.61"
04/28/2011,"1,353.86","1,361.71","1,353.60","1,360.48"
04/27/2011,"1,348.43","1,357.49","1,344.25","1,355.66"
04/26/2011,"1,336.75","1,349.55","1,336.75","1,347.24"
04/25/2011,"1,337.14","1,337.55","1,331.47","1,335.25"
04/21/2011,"1,333.23","1,337.49","1,332.83","1,337.38"
